0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15249,6 colors:,White,Yellow 115,Teal 339,Green 368,Red 206,Black,,,,,,,
15336,5 colors:,White,258 Purple,390 Green,7483 Green,Black,,,,,,,,
15260,4 colors:,White,366 Green,Black Halftone,Black Solid,,,,,,,,,
15338,4 colors:,White,185 Red,072 Blue,Black,,,,,,,,,
15202,3 colors:,White,1797 Red,2738 Blue,,,,,,,,,,
15213,6 colors:,White,130 Yellow,1805 Red,362 Green,072 Blue,Black,,,,,,,
15328,6 colors:,White,130 Yellow,1805 Red,362 Green,2627 Purple,Black,,,,,,,
15265,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15074,4 colors:,White,185 Red,Reflex Blue,Black,,,,,,,,,
15340,6 colors:,White,187 Red,286 Blue,364 Green,7516 Red,Black,,,,,,,
15341,3 colors:,White,187 Red,288 Blue,,,,,,,,,,
15337,5 colors:,White,1585 Orange,255 Purple,7467 Green,Black,,,,,,,,
15342,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),363 Green,,,,,,,
14734,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15270,5 colors:,White,187 Red,288 Blue,274 Purple (solid),274 Purple (halftone),,,,,,,,
15235,4 colors:,White,348 Green,Black Halftone,Black Solid,,,,,,,,,
15343,2 colors:,White,032 Red,,,,,,,,,,,
15252,4 colors:,White,348 Green,Black Halftone,Black Solid,,,,,,,,,
15307,4 colors:,White,2602 Purple,Black Halftone,Black Solid,,,,,,,,,
15258,4 colors:,White,191 Red,Black Halftone,Black Solid,,,,,,,,,
15260,4 colors:,White,366 Green,Black Halftone,Black Solid,,,,,,,,,
15313,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15019,3 colors:,White,Reflex Blue,199 Red,,,,,,,,,,
15335,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15170,4 colors:,White,123 Yellow,1665 Red,370 Green,,,,,,,,,
14900,2 colors:,White,032 Red,,,,,,,,,,,
15192,6 colors:,White,130 Yellow,362 Green,072 Blue,7460 Blue,Black,,,,,,,
15351,3 colors:,White,294 Blue,187 Red,,,,,,,,,,
15350,3 colors:,White,208 Red,Black,,,,,,,,,,
15056,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15352,6 colors:,White,368 Green,Process Magenta,Pantone Yellow,877 Metallic Silver,Black,,,,,,,
15352,6 colors:,White,368 Green,Process Magenta,Pantone Yellow,877 Metallic Silver,Black,,,,,,,
15347,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15328,6 colors:,White,130 Yellow,1805 Red,362 Green,2627 Purple,Black,,,,,,,
15191,5 colors:,White,212 Pink,362 Green,130 Yellow,Black,,,,,,,,
15191,5 colors:,White,212 Pink,362 Green,130 Yellow,Black,,,,,,,,
15346,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15353,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15353,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15344,2 colors:,White,288 Blue,,,,,,,,,,,
15351,3 colors:,White,294 Blue,187 Red,,,,,,,,,,
15008,3 colors:,White,219 Red,Black,,,,,,,,,,
15349,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),355 Green,,,,,,,
15348,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),355 Green,,,,,,,
15356,3 colors:,White,368 Green,Black,,,,,,,,,,
15354,4 colors:,White,368 Green,Black,2925 Blue,,,,,,,,,
15359,4 colors:,White,368 Green,Black,185 Red,,,,,,,,,
15345,3 colors:,White,187 Red,288 Blue,,,,,,,,,,
15350,3 colors:,White,208 Red,Black,,,,,,,,,,
15362,4 colors:,White,282 Blue,1797 Red,656 Gray,,,,,,,,,
15363,4 colors:,White,282 Blue,1797 Red,656 Gray,,,,,,,,,
15201,2 colors:,White,072 Blue,,,,,,,,,,,
15230,4 colors:,White,1805 Red,072 Blue,Black,,,,,,,,,
15364,2 colors:,White,348 Green,Black,,,,,,,,,,
15361,5 colors:,White,130 Orange,7460 Blue,072 Blue,Black,,,,,,,,
15361,5 colors:,White,130 Orange,7460 Blue,072 Blue,Black,,,,,,,,
15152,5 colors:,White,186 Red,187 Red,605 Yellow,Black,,,,,,,,
15343,2 colors:,White,032 Red,,,,,,,,,,,
15366,5 colors:,White,258 Purple,390 Green,7483 Green,Black,,,,,,,,
15340,6 colors:,White,187 Red,286 Blue,364 Green,7516 Red,Black,,,,,,,
15074,4 colors:,White,185 Red,Reflex Blue,Black,,,,,,,,,
15293,5 colors:,White,392 Brown,397 Yellow,729 Tan,Black,,,,,,,,
14734,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15352,6 colors:,White,368 Green,Process Magenta,Pantone Yellow,877 Metallic Silver,Black,,,,,,,
15368,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),185 Red,,,,,,,
14992,3 colors:,White,186 Red,Black,,,,,,,,,,
15365,3 colors:,White,348 Green,Black,,,,,,,,,,
14754,2 colors:,White,Reflex Blue,,,,,,,,,,,
15369,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15371,4 colors:,White,201 Red,560 Green,Black,,,,,,,,,
15370,3 colors:,White,661 Blue,,,,,,,,,,, Black
15374,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15229,5 colors:,White,580 Green,Reflex Blue,485 Red,Black,,,,,,,,
15373,4 colors:,White,1205 Yellow,348 Green,Black,,,,,,,,,
15373,4 colors:,White,1205 Yellow,348 Green,Black,,,,,,,,,
14735,3 colors:,White,199 Red,Black,,,,,,,,,,
14764,3 colors:,White,199 Red,Black,,,,,,,,,,
15335,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15372,5 colors:,White,072 Blue,130 Orange,362 Green,Black,,,,,,,,
15298,6 colors:,White,130 Yellow,485 Red,376 Green,2395 Purple,Black,,,,,,,
15377,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),tba Green,,,,,,,
15375,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15376,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15299,2 colors:,White,Independent Red,,,,,,,,,,,
15378,2 colors:,White,288 Blue,,,,,,,,,,,
15367,3 colors:,White,348 Green,Black,,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15379,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Process Black,tba Red,,,,,,,
15380,2 colors:,White,288 Blue,,,,,,,,,,,
15381,5 colors:,White,1585 Orange,255 Purple,7467 Teal,Black,,,,,,,,
15374,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15161,5 colors:,White,187 Red,288 Blue,274 Blue (halftone),274 Blue (solid),,,,,,,,
15268,2 colors:,White,Reflex Blue,,,,,,,,,,,
15382,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),871 Gold,,,,,,,
15074,4 colors:,White,185 Red,Reflex Blue,Black,,,,,,,,,
15213,6 colors:,White,130 Yellow,1805 Red,362 Green,072 Blue,Black,,,,,,,
14734,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15315,3 colors:,White,7693 Blue,348 Green,,,,,,,,,,
